mp3_path	clip_id	track_number	title	artist	album	url	segmentStart	segmentEnd	original_url
d/ambient_teknology-the_all_seeing_eye_project-01-cyclops-262-291.mp3	1119	1	Cyclops	Ambient Teknology	The All Seeing Eye Project	http://www.magnatune.com/artists/albums/atek-eye/	262	291	http://he3.magnatune.com/all/01-Cyclops-Ambient%20Teknology.mp3
d/ambient_teknology-the_all_seeing_eye_project-02-all_seeing_eye-175-204.mp3	6021	2	All Seeing Eye	Ambient Teknology	The All Seeing Eye Project	http://www.magnatune.com/artists/albums/atek-eye/	175	204	http://he3.magnatune.com/all/02-All%20Seeing%20Eye-Ambient%20Teknology.mp3
d/ambient_teknology-the_all_seeing_eye_project-03-black-175-204.mp3	11847	3	Black	Ambient Teknology	The All Seeing Eye Project	http://www.magnatune.com/artists/albums/atek-eye/	175	204	http://he3.magnatune.com/all/03-Black-Ambient%20Teknology.mp3
d/ambient_teknology-the_all_seeing_eye_project-04-confusion_says-88-117.mp3	17119	4	Confusion Says	Ambient Teknology	The All Seeing Eye Project	http://www.magnatune.com/artists/albums/atek-eye/	88	117	http://he3.magnatune.com/all/04-Confusion%20Says-Ambient%20Teknology.mp3
d/ambient_teknology-the_all_seeing_eye_project-05-the_beholder-291-320.mp3	25118	5	The Beholder	Ambient Teknology	The All Seeing Eye Project	http://www.magnatune.com/artists/albums/atek-eye/	291	320	http://he3.magnatune.com/all/05-The%20Beholder-Ambient%20Teknology.mp3
d/ambient_teknology-the_all_seeing_eye_project-06-cyead-378-407.mp3	26533	6	CYEAD	Ambient Teknology	The All Seeing Eye Project	http://www.magnatune.com/artists/albums/atek-eye/	378	407	http://he3.magnatune.com/all/06-CYEAD-Ambient%20Teknology.mp3
d/ambient_teknology-the_all_seeing_eye_project-07-telekonology-117-146.mp3	33637	7	Telekonology	Ambient Teknology	The All Seeing Eye Project	http://www.magnatune.com/artists/albums/atek-eye/	117	146	http://he3.magnatune.com/all/07-Telekonology-Ambient%20Teknology.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-01-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_i_sinfonia-117-146.mp3	29	1	Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ I Sinfonia	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	117	146	http://he3.magnatune.com/all/01--Gleichwie%20der%20Regen%20und%20Schnee%20vom%20Himmel%20fallt%20BWV%2018_%20I%20Sinfonia--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-02-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_ii_recitative__gleichwie_der_regen_und_schnee-30-59.mp3	5864	2	-Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ II Recitative - Gleichwie der Regen und Schnee-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	30	59	http://he3.magnatune.com/all/02--Gleichwie%20der%20Regen%20und%20Schnee%20vom%20Himmel%20fallt%20BWV%2018_%20II%20Recitative%20-%20Gleichwie%20der%20Regen%20und%20Schnee--ABS.mp3
0/american_bach_soloists-j_s__bach__cantatas_volume_v-03-gleichwie_der_regen_und_schnee_vom_himmel_fallt_bwv_18_iii_recitative_and_litany__mein_gott_hier_wird_mein_herze_sein-88-117.mp3	11264	3	-Gleichwie der Regen und Schnee vom Himmel fallt BWV 18_ III Recitative And Litany - Mein Gott hier wird mein Herze sein-	American Bach Soloists	J.S. Bach - Cantatas Volume V	http://www.magnatune.com/artists/albums/abs-cantatasfive/	88	117	http://he3.magnatune.com/all/03--Gleichwie%20der%20Regen%20und%20Schnee%20vom%20Himmel%20fallt%20BWV%2018_%20III%20Recitative%20And%20Litany%20-%20Mein%20Gott%20hier%20wird%20mein%20Herze%20sein--ABS.mp3
